"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"PACKAGE";"PRICE";"PURCHASE-URL";
"1";"0.01uF";"C_C0603";"C0603";"VLOGIC";"Capacitor SMD.";"";"";"";"";"";"";"";
"2";"0.1uF";"C_C0603";"C0603";"REGOUT, VDD";"Capacitor SMD.";"";"";"";"";"";"";"";
"1";"1K";"R_R0402";"R0402";"BUTTON";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"1";"2200pF";"C_C0603";"C0603";"CPOUT";"Capacitor SMD.";"";"";"";"";"";"";"";
"3";"4.7K";"R_R0402";"R0402";"R5, SCL, SDA";"RESISTOR, American symbol";"";"";"";"";"";"";"";
"3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"FUD1, FUD2, FUD3";"";"";"";"";"";"";"";"";
"1";"LED";"LED";"EIA-STD";"D1";"EIA-STD LED, LTST-C191TBKT";"";"";"";"";"";"";"";
"2";"MINI_MOTOR";"MINI_MOTOR";"MINI_MOTOR";"M1, M2";"";"";"";"";"";"";"";"";
"4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"MGT1, MGT2, MGT3, MGT4";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";
"1";"MPU-6050";"MPU-6050";"MPU-6050";"U1";"MPU-6050 Six-Axis (Gyro + Accelerometer) MEMS MotionTracking™ Devices Check prices";"In Stock";" MPU-6050 series Accelerometer, Gyroscope, 3 Axis Sensor Evaluation Board ";"TDK InvenSense";"MPU-6050";"QFN-24 InvenSense";"None";"https://pricing.snapeda.com/search/part/MPU-6050/?ref=eda";
"1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"U2";"";"";"";"";"";"";"";"";
"1";"POTENTIOMETER";"POTENTIOMETER";"POT-PO90S";"R1";"Potentiometer - Examples:";"";"";"";"";"";"";"";
"1";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"SW1";"";"";"";"";"";"";"";"";
"1";"RGB_LCD";"RGB_LCD";"RGB_LCD";"U$1";"";"";"";"";"";"";"";"";
